fileName,deviceName,startDateTime,modifiedOn,message,status,Root_cause_of_failure,Action_taken_to_solve,Exception_Type
AuditAPI,DESKTOP-MOK7P83,2021-10-13T06:39:45.327518300Z,2021-10-13T06:39:47.537307500Z,"{message:There was a problem at line 1\n,details:This may be due to the following reason:\n\n    Request for URI {{ControlRoomURL}}v1/authentication has failed. Please look at the logs in respective device for more information\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-05T06:54:22.851601400Z,2021-10-05T06:54:42.704718400Z,"{message:There was a problem at line 10\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
assingment,DESKTOP-56OTK9I,2021-10-04T12:17:07.105854600Z,2021-10-04T12:17:28.197927300Z,"{message:There was a problem at line 10\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
assingment,DESKTOP-56OTK9I,2021-10-04T10:26:49.746713900Z,2021-10-04T10:27:11.121818500Z,"{message:There was a problem at line 10\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
assingment,DESKTOP-56OTK9I,2021-10-04T10:25:34.792269500Z,2021-10-04T10:25:55.211632500Z,"{message:There was a problem at line 10\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
supply chain management,DESKTOP-56OTK9I,2021-10-01T05:17:23.213934600Z,2021-10-01T05:18:06.040145200Z,"{message:There was a problem at line 10\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
AuditAPI,DESKTOP-MOK7P83,2021-10-19T12:03:00.458808700Z,2021-10-19T12:03:04.870520700Z,"{message:There was a problem at line 10\n,details:This may be due to the following reason:\n\n    Field 'content' must not be null.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
rpa challenge assignment,DESKTOP-56OTK9I,2021-09-28T10:43:08.573215300Z,2021-09-28T10:43:16.236210600Z,"{message:There was a problem at line 10\n,details:This may be due to the following reason:\n\n    Key 'Company Name' not found in record.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
rpa challenge assignment,DESKTOP-56OTK9I,2021-09-28T10:41:59.711452200Z,2021-09-28T10:42:08.295274100Z,"{message:There was a problem at line 10\n,details:This may be due to the following reason:\n\n    Key 'Company Name' not found in record.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
rpa challenge assignment,DESKTOP-56OTK9I,2021-09-28T10:39:30.709143900Z,2021-09-28T10:39:39.126111700Z,"{message:There was a problem at line 10\n,details:This may be due to the following reason:\n\n    Key 'Company Name' not found in record.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
rpa challenge assignment,DESKTOP-56OTK9I,2021-09-28T10:37:51.973444300Z,2021-09-28T10:38:04.293439300Z,"{message:There was a problem at line 10\n,details:This may be due to the following reason:\n\n    Key 'Company Name' not found in record.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
rpa challenge assignment,DESKTOP-56OTK9I,2021-09-28T10:36:36.261443600Z,2021-09-28T10:36:48.383155Z,"{message:There was a problem at line 10\n,details:This may be due to the following reason:\n\n    Key 'Company Name' not found in record.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
rpa challenge assignment,DESKTOP-56OTK9I,2021-09-28T11:23:03.725894600Z,2021-09-28T11:23:05.929594800Z,"{message:There was a problem at line 11\n,details:This may be due to the following reason:\n\n    Key 'Company Name' not found in record.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
rpa challenge assignment,DESKTOP-56OTK9I,2021-09-28T11:22:40.975198600Z,2021-09-28T11:22:43.045511100Z,"{message:There was a problem at line 11\n,details:This may be due to the following reason:\n\n    Key 'Company Name' not found in record.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-09-29T07:46:14.015011400Z,2021-09-29T07:46:20.785105900Z,"{message:There was a problem at line 11\n,details:This may be due to the following reason:\n\n    Unable to find TEXTBOX. Search Criteria did not match.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T07:56:13.628810400Z,2021-10-04T07:56:46.475345400Z,"{message:There was a problem at line 11\n,details:This may be due to the following reason:\n\n    Unable to perform LEFTCLICK action. BUTTON is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T04:33:01.511753800Z,2021-10-01T04:34:04.799800200Z,"{message:There was a problem at line 11\n,details:This may be due to the following reason:\n\n    Unable to perform SETTEXT action. TEXTBOX is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
data-table,DESKTOP-56OTK9I,2021-10-11T05:38:55.548610600Z,2021-10-11T05:38:56.104396700Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T06:34:29.756258800Z,2021-10-01T06:34:39.921910Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
Google chrome,DESKTOP-56OTK9I,2021-09-29T09:39:47.970105Z,2021-09-29T09:40:27.430404300Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '$APP-NAME$-Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T10:55:54.594582900Z,2021-10-01T10:56:32.173188200Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7-zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T10:28:34.572940Z,2021-10-01T10:29:12.831465100Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7-zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T07:52:38.800768100Z,2021-10-01T07:53:20.023124900Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7-zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-09-29T09:36:35.103745200Z,2021-09-29T09:37:16.501400900Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7-zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-09-29T09:32:35.687978400Z,2021-09-29T09:33:14.567110400Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7-zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-09-29T09:57:19.428116900Z,2021-09-29T09:57:57.149884300Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'google chrome - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-09-29T07:08:01.110363200Z,2021-09-29T07:08:47.875318500Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
data-table,DESKTOP-56OTK9I,2021-10-11T05:37:52.615147800Z,2021-10-11T05:37:52.773499900Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    Incorrect column details '1.0' have been entered. Please check whether the column position is valid. If the problem persists, please contact your System Administrator.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
data-table,DESKTOP-56OTK9I,2021-10-11T05:38:24.998106500Z,2021-10-11T05:38:25.424451900Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    Incorrect column details '2.0' have been entered. Please check whether the column position is valid. If the problem persists, please contact your System Administrator.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T07:47:57.483258400Z,2021-10-01T07:48:31.806234500Z,"{message:There was a problem at line 12\n,details:This may be due to the following reason:\n\n    Session not found. Use an active session and try again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-05T11:23:51.228506600Z,2021-10-05T11:24:14.789233Z,"{message:There was a problem at line 13\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T07:20:02.732568200Z,2021-10-01T07:20:49.926116200Z,"{message:There was a problem at line 13\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7 zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T07:12:13.353582200Z,2021-10-01T07:12:54.799577500Z,"{message:There was a problem at line 13\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7 zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T07:10:40.659913600Z,2021-10-01T07:11:20.903418700Z,"{message:There was a problem at line 13\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7 zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T09:15:37.865531300Z,2021-10-01T09:16:33.616238Z,"{message:There was a problem at line 13\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7-zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T08:24:11.587331100Z,2021-10-01T08:24:51.908969200Z,"{message:There was a problem at line 13\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7-zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T08:22:38.720589200Z,2021-10-01T08:23:18.713799200Z,"{message:There was a problem at line 13\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7-zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T08:19:27.336239900Z,2021-10-01T08:20:12.250572600Z,"{message:There was a problem at line 13\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7-zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T08:18:28.947937Z,2021-10-01T08:19:09.328295200Z,"{message:There was a problem at line 13\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7-zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T06:56:04.158658700Z,2021-10-01T06:56:46.204602Z,"{message:There was a problem at line 13\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled '7-zip - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-09-29T06:50:05.990805600Z,2021-09-29T06:50:49.406895600Z,"{message:There was a problem at line 14\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled ' $APP-NAME$- Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-09-29T06:23:51.373711400Z,2021-09-29T06:24:29.829903700Z,"{message:There was a problem at line 14\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled ' $APP-NAME$- Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-09-29T06:17:11.682517600Z,2021-09-29T06:17:53.389502700Z,"{message:There was a problem at line 14\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Google Chrome - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-09-29T06:16:10.392044600Z,2021-09-29T06:16:50.279950600Z,"{message:There was a problem at line 14\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'Google Chrome - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-09-29T06:04:57.803347900Z,2021-09-29T06:05:38.799233100Z,"{message:There was a problem at line 14\n,details:This may be due to the following reason:\n\n    Cannot find window or application titled 'gOOGLE cHROME - Programs and Features' that was open during recording\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to auto resolve the selector error and send email notification ,Application exception
supply chain management,DESKTOP-56OTK9I,2021-09-30T11:48:07.642264700Z,2021-09-30T11:48:12.985300500Z,"{message:There was a problem at line 14\n,details:This may be due to the following reason:\n\n    Invalid argument supplied to 'record', index '2' is invalid or out of bound.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
Google chrome,DESKTOP-56OTK9I,2021-10-01T05:36:59.854299400Z,2021-10-01T05:37:01.676487800Z,"{message:There was a problem at line 14\n,details:This may be due to the following reason:\n\n    Unable to find the 'company portal' executable file.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T10:58:45.370613700Z,2021-10-04T10:59:42.400411100Z,"{message:There was a problem at line 14\n,details:This may be due to the following reason:\n\n    Unable to perform LEFTCLICK action. CLIENT is unavailable.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Selector Error,Rerun the bot as a standard first level of action  to resolve the selector error ,Application exception
assingment,DESKTOP-56OTK9I,2021-10-04T08:16:46.914092500Z,2021-10-04T08:17:08.745723700Z,"{message:There was a problem at line 15\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
